file,dimensions,size,used on,alt text
about-artist.jpg,1350x1800,593 KB,About.dc.html; Gallery.dc.html; index.html,Shivani at work on a canvas
artist-painting-abstract-bg.jpg,1013x1800,383 KB,Blog.dc.html; Gallery.dc.html,Shivani building up a background on canvas
artist-painting-ganesh-gold.jpg,1350x1800,474 KB,Gallery.dc.html,Shivani painting a gold Ganesh commission
artist-painting-riverside.jpg,1800x1013,522 KB,Gallery.dc.html; index.html,A landscape commission painted on location by the water
artist-painting-venue-pink.jpg,1013x1800,622 KB,Gallery.dc.html; Live Wedding Painting.dc.html; index.html,Painting in progress as the venue fills up
bts-1.jpg,1013x1800,566 KB,Blog.dc.html; index.html,A finished painting at the venue
bts-2.jpg,1350x1800,497 KB,Gallery.dc.html; Live Wedding Painting.dc.html; index.html,The finished painting with the couple
bts-4.jpg,1350x1800,324 KB,Gallery.dc.html; index.html,Charcoal portrait study
charcoal-portrait-study.jpg,960x960,89 KB,Collections.dc.html,Charcoal portrait study
easel-in-venue.jpg,1013x1800,529 KB,Gallery.dc.html; Live Wedding Painting.dc.html,The canvas on its easel at the venue
gallery-extra-1.jpg,1013x1800,455 KB,Gallery.dc.html; index.html,"A finished wedding painting, delivered to the couple"
hero-painting-reveal.jpg,1013x1800,333 KB,Blog.dc.html; Live Wedding Painting.dc.html; index.html,A finished wedding painting being revealed
live-big.jpg,1013x1800,538 KB,index.html,Painting live at the mandap
live-easel-setup.jpg,1013x1800,529 KB,About.dc.html; Gallery.dc.html,Canvas set up and ready to begin
live-easel-venue.jpg,1013x1800,603 KB,Blog.dc.html; Gallery.dc.html,The canvas on its easel at the venue
live-finished-real.jpg,1013x1800,455 KB,Gallery.dc.html; Live Wedding Painting.dc.html,Wedding painting revealed to a couple at a gurudwara
live-small1.jpg,1013x1800,529 KB,index.html,Easel at the venue
logo.png,,2331 KB,About.dc.html; Blog.dc.html; BlogPost.dc.html; Collections.dc.html; Enquire.dc.html; Gallery.dc.html; Kind Words.dc.html; Live Wedding Painting.dc.html; Privacy.dc.html; index.html,Shivani Jaiswal
paint-live-wedding.jpg,1013x1800,383 KB,index.html,
paint-portrait.jpg,1350x1800,593 KB,UNUSED,
paint-spiritual.jpg,1013x1800,578 KB,Gallery.dc.html,Finished devotional painting of a goddess
painting-and-real-mandap.jpg,1013x1800,266 KB,Enquire.dc.html,A finished wedding painting beside the mandap it was painted from
painting-closeup-mandap-raipur.jpg,1013x1800,728 KB,Blog.dc.html; Gallery.dc.html; Live Wedding Painting.dc.html,Close detail of a mandap painting
painting-closeup-sikh-couple.jpg,1013x1800,670 KB,Gallery.dc.html; Live Wedding Painting.dc.html,Close detail of a Sikh couple on canvas
painting-couple-closeup.jpg,1013x1800,527 KB,Gallery.dc.html; Live Wedding Painting.dc.html,Couple painted beneath a floral archway
painting-couple-varmala-real.jpg,1013x1800,455 KB,Blog.dc.html; Collections.dc.html; Gallery.dc.html; Live Wedding Painting.dc.html,A varmala painting beside the couple it was painted for
painting-night-mandap-jaipur.jpg,1013x1800,450 KB,Gallery.dc.html; Live Wedding Painting.dc.html,A night mandap painted in Jaipur
painting-varmala-sunset.jpg,1013x1800,566 KB,Blog.dc.html; Gallery.dc.html; Live Wedding Painting.dc.html,"Sunset varmala painting, the featured story"
portrait-painting-progress.jpg,1350x1800,328 KB,Gallery.dc.html; index.html,A portrait being painted from a photograph
reel-custom-artwork.jpg,1013x1800,316 KB,About.dc.html; Blog.dc.html; BlogPost.dc.html; Collections.dc.html; Enquire.dc.html; Gallery.dc.html; Kind Words.dc.html; Live Wedding Painting.dc.html; Privacy.dc.html; index.html,Custom artwork
reel-custom.jpg,1012x1800,476 KB,About.dc.html; Blog.dc.html; BlogPost.dc.html; Collections.dc.html; Enquire.dc.html; Gallery.dc.html; Kind Words.dc.html; Live Wedding Painting.dc.html; Privacy.dc.html; index.html,A commission being finished
reel-live-wedding-1.jpg,1013x1800,527 KB,About.dc.html; Blog.dc.html; BlogPost.dc.html; Collections.dc.html; Enquire.dc.html; Gallery.dc.html; Kind Words.dc.html; Live Wedding Painting.dc.html; Privacy.dc.html; index.html,Live wedding painting in progress
